"date","id","name","direction","type","bx","lb"
2017-10-01,"D62","panera - burlington","donor","Bread and Bakery",5,90
2017-10-01,"D64","panera - lexington","donor","Bread and Bakery",4,72
2017-10-01,"D91","trader joe's - arlington","donor","Bread and Bakery",6,108
2017-10-01,"D91","trader joe's - arlington","donor","Prepared Foods",1,15
2017-10-01,"D91","trader joe's - arlington","donor","Produce",9,234
2017-10-01,"D91","trader joe's - arlington","donor","Meat and Protein",3,78
2017-10-01,"D105","whole foods market - arlington","donor","Bread and Bakery",3,54
2017-10-01,"D105","whole foods market - arlington","donor","Non-perishables",3,57
2017-10-01,"D105","whole foods market - arlington","donor","Prepared Foods",2,30
2017-10-01,"D105","whole foods market - arlington","donor","Produce",6,156
2017-10-01,"D105","whole foods market - arlington","donor","Dairy and Eggs",5,130
2017-10-02,"D41","great harvest bread","donor","Bread and Bakery",4,72
2017-10-02,,"lexington community farm","donor","Produce",6,156
2017-10-02,"D62","panera - burlington","donor","Bread and Bakery",3,54
2017-10-02,"D64","panera - lexington","donor","Bread and Bakery",4,72
2017-10-02,"D65","panera - woburn","donor","Bread and Bakery",3,54
2017-10-02,"D91","trader joe's - arlington","donor","Bread and Bakery",4,72
2017-10-02,"D91","trader joe's - arlington","donor","Non-perishables",1,19
2017-10-02,"D91","trader joe's - arlington","donor","Produce",7,182
2017-10-02,"D91","trader joe's - arlington","donor","Meat and Protein",3,78
2017-10-02,"D105","whole foods market - arlington","donor","Bread and Bakery",1,18
2017-10-02,"D105","whole foods market - arlington","donor","Prepared Foods",3,45
2017-10-02,"D105","whole foods market - arlington","donor","Dairy and Eggs",3,78
2017-10-02,"D106","whole foods market - medford","donor","Bread and Bakery",8,144
2017-10-02,"D106","whole foods market - medford","donor","Non-perishables",9,171
2017-10-02,"D106","whole foods market - medford","donor","Prepared Foods",5,75
2017-10-02,"D106","whole foods market - medford","donor","Produce",12,312
2017-10-02,"D106","whole foods market - medford","donor","Dairy and Eggs",11,286
2017-10-02,"D106","whole foods market - medford","donor","Meat and Protein",1,26
2017-10-03,"D63","panera - fresh pond","donor","Bread and Bakery",3,54
2017-10-03,"D73","prime","donor","Meat and Protein",1,26
2017-10-03,"D78","russo's","donor","Produce",4,104
2017-10-03,"D91","trader joe's - arlington","donor","Bread and Bakery",8,144
2017-10-03,"D91","trader joe's - arlington","donor","Produce",9,234
2017-10-03,"D91","trader joe's - arlington","donor","Dairy and Eggs",2,52
2017-10-03,"D91","trader joe's - arlington","donor","Meat and Protein",2,52
2017-10-03,"D106","whole foods market - medford","donor","Bread and Bakery",11,198
2017-10-03,"D106","whole foods market - medford","donor","Non-perishables",2,38
2017-10-03,"D106","whole foods market - medford","donor","Produce",7,182
2017-10-04,"D64","panera - lexington","donor","Bread and Bakery",5,90
2017-10-04,"D65","panera - woburn","donor","Bread and Bakery",5,90
2017-10-04,"D91","trader joe's - arlington","donor","Bread and Bakery",4,72
2017-10-04,"D91","trader joe's - arlington","donor","Prepared Foods",4,60
2017-10-04,"D91","trader joe's - arlington","donor","Meat and Protein",1,26
2017-10-04,"D105","whole foods market - arlington","donor","Bread and Bakery",5,90
2017-10-04,"D105","whole foods market - arlington","donor","Produce",6,156
2017-10-04,"D106","whole foods market - medford","donor","Bread and Bakery",5,90
2017-10-04,"D106","whole foods market - medford","donor","Prepared Foods",2,30
2017-10-04,"D106","whole foods market - medford","donor","Produce",6,156
2017-10-04,"D106","whole foods market - medford","donor","Dairy and Eggs",5,130
2017-10-05,"D35","food link hub (d)","donor","Bread and Bakery",21,378
2017-10-05,"D35","food link hub (d)","donor","Produce",19,494
2017-10-05,"D35","food link hub (d)","donor","Dairy and Eggs",8,208
2017-10-05,"D62","panera - burlington","donor","Bread and Bakery",4,72
2017-10-05,"D63","panera - fresh pond","donor","Bread and Bakery",3,54
2017-10-05,"D63","panera - fresh pond","donor","Non-perishables",2,38
2017-10-05,"D63","panera - fresh pond","donor","Produce",5,130
2017-10-05,"D63","panera - fresh pond","donor","Meat and Protein",2,52
2017-10-05,"D64","panera - lexington","donor","Bread and Bakery",5,90
2017-10-05,"D91","trader joe's - arlington","donor","Bread and Bakery",10,180
2017-10-05,"D91","trader joe's - arlington","donor","Prepared Foods",1,15
2017-10-05,"D91","trader joe's - arlington","donor","Produce",6,156
2017-10-05,"D106","whole foods market - medford","donor","Bread and Bakery",11,198
2017-10-05,"D106","whole foods market - medford","donor","Non-perishables",4,76
2017-10-05,"D106","whole foods market - medford","donor","Prepared Foods",2,30
2017-10-05,"D106","whole foods market - medford","donor","Produce",13,338
2017-10-05,"D106","whole foods market - medford","donor","Dairy and Eggs",8,208
2017-10-06,"D49","la patisserie","donor","Bread and Bakery",2,36
2017-10-06,"D49","la patisserie","donor","Non-perishables",2,38
2017-10-06,"D91","trader joe's - arlington","donor","Bread and Bakery",5,90
2017-10-06,"D91","trader joe's - arlington","donor","Non-perishables",1,19
2017-10-06,"D91","trader joe's - arlington","donor","Prepared Foods",2,30
2017-10-06,"D91","trader joe's - arlington","donor","Produce",5,130
2017-10-06,"D91","trader joe's - arlington","donor","Meat and Protein",1,26
2017-10-06,"D105","whole foods market - arlington","donor","Bread and Bakery",1,18
2017-10-06,"D105","whole foods market - arlington","donor","Non-perishables",1,19
2017-10-06,"D105","whole foods market - arlington","donor","Prepared Foods",2,30
2017-10-06,"D105","whole foods market - arlington","donor","Produce",4,104
2017-10-06,"D106","whole foods market - medford","donor","Bread and Bakery",6,108
2017-10-06,"D106","whole foods market - medford","donor","Prepared Foods",1,15
2017-10-06,"D106","whole foods market - medford","donor","Produce",6,156
2017-10-06,"D106","whole foods market - medford","donor","Dairy and Eggs",5,130
2017-10-07,"D62","panera - burlington","donor","Bread and Bakery",4,72
2017-10-07,"D91","trader joe's - arlington","donor","Bread and Bakery",2,36
2017-10-07,"D105","whole foods market - arlington","donor","Bread and Bakery",3,54
2017-10-07,"D105","whole foods market - arlington","donor","Non-perishables",1,19
2017-10-07,"D105","whole foods market - arlington","donor","Prepared Foods",2,30
2017-10-07,"D105","whole foods market - arlington","donor","Produce",5,130
2017-10-08,"D62","panera - burlington","donor","Bread and Bakery",1,18
2017-10-08,"D64","panera - lexington","donor","Bread and Bakery",7,126
2017-10-08,"D91","trader joe's - arlington","donor","Bread and Bakery",2,36
2017-10-08,"D91","trader joe's - arlington","donor","Produce",10,260
2017-10-08,"D91","trader joe's - arlington","donor","Dairy and Eggs",1,26
2017-10-08,"D105","whole foods market - arlington","donor","Bread and Bakery",3,54
