"recipient_agency","also_known_as","acronym","currently_active","notes_on_activity","delivery_address","town","zip_code","contact_person","email","phone_number","notes_12","average_box_count","notes_14","bakery","non_perishables","prepared","produce","dairy_and_eggs","meat","x21","distribution_notes","distribution_schedule","cold_storage","gbfb_agency","x26","children","senior_citizens","disabled","veterans","low_income_families","young_adults","homeless","full_address","lon","lat","id"
"12 Step - Billerica","12-Step Billerica",,"No","Inactive due to COVID","317 Boston Rd","Billerica",1862,"Laura O'Donnell","lauraodonnell12billerica@gmail.com","617-645-7062",,,,,,,,,,,,,,"No",,,,,,,,,"317 Boston Rd, Billerica, MA 1862",-71.2766094,42.569265,"R1"
"Aaron",,,"No","Short term, informal",,"Arlington",,,,,,,,,,,,,,,,,,"No",,,,,,"x",,,"Aaron",-97.0518831,36.1147885,"R2"
"Douglas House (Advocates)","Douglas House, Advocates/ Douglas House","DH","No","Inactive due to COVID","7 Oakland St","Lexington",2420,"Angella Davis Assistant Program Manager","adavis@advocates.org","781-862-0070",,,,,,,,,,,,,,"No",,,,"x",,,,,"7 Oakland St, Lexington, MA 2420",-71.2270489,42.4488845,"R3"
"Africano Waltham","Waltham Africano, Arican Cultural Services","WA,","Yes",,"703B Main St","Waltham",2451,,"africaculture2014@gmail.com","(781) 298-1545",,,,,,,,,,,,,,"No",,"x",,,,"x",,,"703B Main St, Waltham, MA 2451",-71.2381791,42.3762877,"R4"
"Arabic Baptist Church","Arabic Baptist","ARABIC, ABC","Yes",,"187 Church St","Newton",2458,"Allen Katzoff","617-281-4629","amkatzoff@gmail.com",,,,"X","X","X","X","X","X",,,,,"No",,,,,,"x",,,"187 Church St, Newton, MA 2458",-71.1872287,42.3545657,"R5"
"Arlington American Legion Post 39","American Legion, Arlington American Legion, American Legion Arlington","AAL, AL","No","Inactive due to COVID","370 Massachusetts Ave","Arlington",2474,"Donna Burns",,"781) 648-9872",,,,,,,,,,,,,,"No",,,,,"X",,,,"370 Massachusetts Ave, Arlington, MA 2474",-71.1491684,42.4120872,"R6"
"Arlington Boys & Girls Club","Arlington Boys and Girls","ABG","No","Inactive due to COVID","60 Pond Lane","Arlington",2474,"Gina Duddy: Admin. Asst.","gduddy@abgclub.org","781-648-1617 x 214",,,,,,,,,,,,,,"No",,"X",,,,,,,"60 Pond Lane, Arlington, MA 2474",-71.1524176,42.411601,"R7"
"Arlington Council on Aging","Arlington Senior Center","ASC, COA","No","Inactive due to COVID","27 Maple St","Arlington",2476,"Kristine Shah: Executive Director","kshah@town.arlington.ma.us","781-316-3401",,,,,,,,,,,,,,"No",,,"X",,,,,,"27 Maple St, Arlington, MA 2476",-71.1567808,42.4150873,"R8"
"Arlington EATS","Arlington EATS Martket, Arlington Food Pantry, EATS, Thompson School Snack Program, arlington eats / thompson school snack program/something savory, arlington eats / thompson school snack program, AFP, Arlington Eats, arlington eats / school program, arlington eats market","EATS, TS, AEM, AFP","Yes",,"74 Plesant St","Arlington",2476,"Jane Biondi: Volunteer Coordinator","Jbondi@Arlingtoneats.org","781-572-7756",,,,"X","X","X","X","X","X",,,,,"Yes",,"x","x",,,"x",,,"74 Plesant St, Arlington, MA 2476",-71.1548145,42.4137126,"R9"
"Arlington Fire Station",,,"No","Overflow location","411 Mass Ave","Arlington",2474,,,"(781) 316-3800",,,,,,,,,,,,,,"No",,,,,,,,,"411 Mass Ave, Arlington, MA 2474",-71.1497522,42.4137461,"R10"
